domain,homepage_url,expected_label,website_type,target_market,language,activity_status,label_reason,evidence_summary,reviewer_notes,dataset_split,evidence_url_1,evidence_url_2,reviewed_at,review_method
famitsu.com,https://www.famitsu.com/,gaming_media,gaming_publication,Japan,ja,active,Primary activity is publishing organized gaming news and reviews for a Japanese audience.,"Homepage title 'ファミ通.com', multiple recent articles with publication dates, clear editorial attribution, 'ゲーム' navigation.",Strong positive gaming media.,development,https://www.famitsu.com/,https://www.famitsu.com/company/,2026-06-16T12:00:00Z,manual_public_web_review
4gamer.net,https://www.4gamer.net/,gaming_media,gaming_publication,Japan,ja,active,Major gaming news and review site with clear editorial structure.,"Extensive archives, 'Review' and 'News' navigation labels, author bylines, daily dates.",,development,https://www.4gamer.net/,https://www.4gamer.net/about/,2026-06-16T12:00:00Z,manual_public_web_review
jp.ign.com,https://jp.ign.com/,gaming_media,gaming_publication,Japan,ja,active,Japanese branch of a global gaming media outlet.,"Bylines, dates, 'ニュース' and 'レビュー' in primary navigation, daily publishing.",,development,https://jp.ign.com/,https://jp.ign.com/about,2026-06-16T12:00:00Z,manual_public_web_review
automaton-media.com,https://automaton-media.com/,gaming_media,gaming_publication,Japan,ja,active,Independent gaming news outlet with recurring publishing.,"Homepage lists recent articles with authors and times, 'NEWS' and 'REVIEW' sections.",,development,https://automaton-media.com/,https://automaton-media.com/about/,2026-06-16T12:00:00Z,manual_public_web_review
dengekionline.com,https://dengekionline.com/,gaming_media,gaming_publication,Japan,ja,active,Online presence of a major Japanese gaming magazine.,"Multiple articles per day, author names, gaming categories like 'PS5', 'Switch'.",,development,https://dengekionline.com/,,2026-06-16T12:00:00Z,manual_public_web_review
gamespark.jp,https://www.gamespark.jp/,gaming_media,gaming_publication,Japan,ja,active,Dedicated gaming news site.,"Recent articles with today's dates, editorial staff list, gaming navigation.",,test,https://www.gamespark.jp/,https://www.gamespark.jp/info/about.html,2026-06-16T12:00:00Z,manual_public_web_review
gematsu.com,https://www.gematsu.com/,gaming_media,gaming_publication,Global,en,active,Focuses on Japanese games but operates globally in English.,"Daily news articles, dates, author is usually 'Sal Romano', categories.",Market evidence indicates global English audience but JP subject matter. Labeled Global.,development,https://www.gematsu.com/,https://www.gematsu.com/about,2026-06-16T12:00:00Z,manual_public_web_review
inside-games.jp,https://www.inside-games.jp/,gaming_media,gaming_publication,Japan,ja,active,Gaming and entertainment site with editorial structure.,"Regular articles, 'ニュース' and '特集' sections, dates present.",,development,https://www.inside-games.jp/,,2026-06-16T12:00:00Z,manual_public_web_review
destructoid.com,https://www.destructoid.com/,gaming_media,gaming_publication,Canada,en,active,Major gaming publication owned by Enthusiast Gaming (Canadian).,"Reviews, news, dates, authors, editorial footprints.",,development,https://www.destructoid.com/,https://www.destructoid.com/about-us/,2026-06-16T12:00:00Z,manual_public_web_review
cgmagonline.com,https://www.cgmagonline.com/,gaming_media,gaming_publication,Canada,en,active,Canadian Gaming Magazine online.,"Clear Canadian publication identity in About page, reviews, news, dates.",,test,https://www.cgmagonline.com/,https://www.cgmagonline.com/about/,2026-06-16T12:00:00Z,manual_public_web_review
